stroke_index,,num_stroke,pinyin,pinyin_tone,pinyin_tone_stroke
23571,尓,5,er,er3,er305
31166,禾,5,he,he2,he205
21003,刋,5,qian,qian4,qian405
21456,叐,5,ba,ba2,ba205
21001,刉,5,ji,ji4,ji405
20200,仨,5,sa,sa1,sa105
20192,仠,5,gan,gan3,gan305
19992,丘,5,qiu,qiu1,qiu105
20181,仕,5,shi,shi4,shi405
20188,仜,5,hong,hong2,hong205
20184,付,5,fu,fu4,fu405
20183,仗,5,zhang,zhang4,zhang405
20195,代,5,dai,dai4,dai405
20201,仩,5,shang,shang4,shang405
20198,仦,5,chao,chao4,chao405
20185,仙,5,xian,xian1,xian105
20191,仟,5,qian,qian1,qian105
20187,仛,5,cha,cha4,cha405
20193,仡,5,ge,ge1,ge105
20194,仢,5,di,di2,di205
20203,仫,5,mu,mu4,mu405
20235,伋,6,ji,ji2,ji206
20204,们,5,men,men5,men505
20202,仪,5,yi,yi2,yi205
30333,白,5,bai,bai2,bai205
20180,仔,5,zi,zi3,zi305
20182,他,5,ta,ta1,ta105
20190,仞,5,ren,ren4,ren405
20205,仭,5,ren,ren4,ren405
26021,斥,5,chi,chi4,chi405
21358,卮,5,zhi,zhi1,zhi105
29916,瓜,5,gua,gua1,gua105
20189,仝,5,tong,tong2,tong205
20218,仺,5,cang,cang1,cang105
23570,尒,5,er,er3,er305
20186,仚,5,xian,xian1,xian105
23667,屳,5,xian,xian1,xian105
20046,乎,5,hu,hu1,hu105
19995,丛,5,cong,cong2,cong205
20196,令,5,ling,ling4,ling405
36796,込,5,zzzzzz,zzzzzz5,zzzzzz599
29992,用,5,yong,yong4,yong405
29993,甩,5,shuai,shuai3,shuai305
32906,肊,5,yi,yi4,yi405
21360,印,6,yin,yin4,yin406
27664,氐,5,di,di3,di305
20048,乐,5,le,le4,le405
23572,尔,5,er,er3,er305
21477,句,5,ju,ju4,ju405
21492,叴,5,qiu,qiu2,qiu205
20967,凧,5,zzzzzz,zzzzzz5,zzzzzz599
21254,匆,5,cong,cong1,cong105
29360,犰,5,qiu,qiu2,qiu205
21251,匃,5,gai,gai4,gai405
20876,册,5,ce,ce4,ce405
21359,卯,5,mao,mao3,mao305
21255,匇,5,zzzzzz,zzzzzz5,zzzzzz599
29359,犯,5,fan,fan4,fan405
21252,匄,5,gai,gai4,gai405
22788,处,5,chu,chu3,chu305
22806,外,5,wai,wai4,wai405
20966,処,5,chu,chu3,chu305
20908,冬,5,dong,dong1,dong105
40479,鸟,5,niao,niao3,niao305
22808,夘,5,mao,mao3,mao305
37020,邜,5,zzzzzz,zzzzzz5,zzzzzz599
21153,务,5,wu,wu4,wu405
22807,夗,6,yuan,yuan4,yuan406
